stat.id,ma.id,category,first.author,year,n1,n2,effect,variance,statistic,ma.doi
47,1,Biomedical,Bemben,2002,20,20,-0.162,NA,d,10.1093/gerona/glp082
48,1,Biomedical,Armstrong,1996,54,54,-0.131,NA,d,10.1093/gerona/glp082
49,1,Biomedical,Taaffe,1995,48,37,0,NA,d,10.1093/gerona/glp082
50,1,Biomedical,Taaffe,2005,581,259,0.124,NA,d,10.1093/gerona/glp082
51,1,Biomedical,Bassey,1996,91,14,0.156,NA,d,10.1093/gerona/glp082
52,1,Biomedical,Ribom,2002,17,17,0.188,NA,d,10.1093/gerona/glp082
53,1,Biomedical,Greeves,1999,10,11,0.209,NA,d,10.1093/gerona/glp082
54,1,Biomedical,Sipila,2001,17,17,0.478,NA,d,10.1093/gerona/glp082
55,1,Biomedical,Carville,2006,14,15,0.507,NA,d,10.1093/gerona/glp082
56,1,Biomedical,Brooke-Wavell,2001,14,22,0.603,NA,d,10.1093/gerona/glp082
57,1,Biomedical,Onambele,2006,8,14,0.569,NA,d,10.1093/gerona/glp082
58,1,Biomedical,Skelton,1999,50,44,1.237,NA,d,10.1093/gerona/glp082
59,1,Biomedical,Phillips,1993,35,21,1.245,NA,d,10.1093/gerona/glp082
60,1,Biomedical,Suzuki,1985,6,6,-1.188,NA,d,10.1093/gerona/glp082
61,1,Biomedical,McCormick,2004,8,8,-0.377,NA,d,10.1093/gerona/glp082
62,1,Biomedical,Fisher,1998,8,10,0.003,NA,d,10.1093/gerona/glp082
63,1,Biomedical,Wohlers,2009,5,5,-0.443,NA,d,10.1093/gerona/glp082
64,1,Biomedical,Hubal,2005,12,9,0.187,NA,d,10.1093/gerona/glp082
65,1,Biomedical,Moran,2007,20,31,0.936,NA,d,10.1093/gerona/glp082
66,1,Biomedical,Schneider,2004,13,13,1.278,NA,d,10.1093/gerona/glp082
67,1,Biomedical,Warren,1996,8,8,1.348,NA,d,10.1093/gerona/glp082
68,1,Biomedical,Moran,2006,10,13,1.462,NA,d,10.1093/gerona/glp082
69,1,Biomedical,Wohlers,2009,5,5,-0.26,NA,d,10.1093/gerona/glp082
70,1,Biomedical,Hubal,2005,12,9,-0.26,NA,d,10.1093/gerona/glp082
71,1,Biomedical,Fisher,1998,8,10,0.148,NA,d,10.1093/gerona/glp082
72,1,Biomedical,McCormick,2004,8,8,0.406,NA,d,10.1093/gerona/glp082
73,1,Biomedical,Moran,2007,20,31,0.837,NA,d,10.1093/gerona/glp082
74,1,Biomedical,Moran,2006,10,13,1.388,NA,d,10.1093/gerona/glp082
75,1,Biomedical,Wattanapermpool,1999,3,3,2.434,NA,d,10.1093/gerona/glp082
76,2,Biomedical,Tedone,2015,31,20,-0.425,NA,d,10.1093/gerona/glw053
77,2,Biomedical,Kota,2015,57,55,-0.673,NA,d,10.1093/gerona/glw053
78,2,Biomedical,Mathur,2014,41,41,-2.509,NA,d,10.1093/gerona/glw053
79,2,Biomedical,Guan,2012,40,59,-0.432,NA,d,10.1093/gerona/glw053
80,2,Biomedical,Takata,2012,74,35,-0.298,NA,d,10.1093/gerona/glw053
81,2,Biomedical,Hochstrasser,2012,18,14,-3.412,NA,d,10.1093/gerona/glw053
82,2,Biomedical,Honig,2012,314,1469,-0.354,NA,d,10.1093/gerona/glw053
83,2,Biomedical,Lukens,2009,29,22,0.231,NA,d,10.1093/gerona/glw053
84,2,Biomedical,Thomas A,2008,54,26,-1.05,NA,d,10.1093/gerona/glw053
85,2,Biomedical,Thomas B,2008,54,26,-0.517,NA,d,10.1093/gerona/glw053
86,2,Biomedical,Thomas C,2008,13,9,1.203,NA,d,10.1093/gerona/glw053
87,2,Biomedical,Franco,2006,8,7,-5.416,NA,d,10.1093/gerona/glw053
88,2,Biomedical,Panossian,2003,15,15,-2.937,NA,d,10.1093/gerona/glw053
89,3,Biomedical,Sherrington,1997,20,20,0.29,NA,d,10.1093/gerona/gly271
90,3,Biomedical,Hauer,2002,15,13,0.453,NA,d,10.1093/gerona/gly271
91,3,Biomedical,Binder,2004,46,44,0.422,NA,d,10.1093/gerona/gly271
92,3,Biomedical,Peterson,2004,38,32,0.133,NA,d,10.1093/gerona/gly271
93,3,Biomedical,Sherrington,2004,40,40,0.16,NA,d,10.1093/gerona/gly271
94,3,Biomedical,Moseley,2009,80,80,0.126,NA,d,10.1093/gerona/gly271
95,3,Biomedical,Latham,2014,120,112,0.272,NA,d,10.1093/gerona/gly271
96,3,Biomedical,Monticone,2018,26,22,1.708,NA,d,10.1093/gerona/gly271
97,3,Biomedical,Sherrington,1997,20,20,0.272,NA,d,10.1093/gerona/gly271
98,3,Biomedical,Hauer,2002,15,13,0.466,NA,d,10.1093/gerona/gly271
99,3,Biomedical,Binder,2004,46,44,0.59,NA,d,10.1093/gerona/gly271
100,3,Biomedical,Peterson,2004,38,32,0.063,NA,d,10.1093/gerona/gly271
101,3,Biomedical,Sherrington,2004,40,40,0.295,NA,d,10.1093/gerona/gly271
102,3,Biomedical,Moseley,2009,80,80,0.065,NA,d,10.1093/gerona/gly271
103,3,Biomedical,Latham,2014,120,112,0.0416,NA,d,10.1093/gerona/gly271
104,3,Biomedical,Monticone,2018,26,22,2.914,NA,d,10.1093/gerona/gly271
105,3,Biomedical,Sherrington,1997,20,20,0.191,NA,d,10.1093/gerona/gly271
106,3,Biomedical,Hauer,2002,15,13,0.767,NA,d,10.1093/gerona/gly271
107,3,Biomedical,Binder,2004,46,44,0.536,NA,d,10.1093/gerona/gly271
108,3,Biomedical,Peterson,2004,38,32,0.243,NA,d,10.1093/gerona/gly271
109,3,Biomedical,Sherrington,2004,40,40,0.143,NA,d,10.1093/gerona/gly271
110,3,Biomedical,Moseley,2009,80,80,0.036,NA,d,10.1093/gerona/gly271
111,3,Biomedical,Latham,2014,120,112,0.144,NA,d,10.1093/gerona/gly271
112,3,Biomedical,Sherrington,1997,20,20,0.417,NA,d,10.1093/gerona/gly271
113,3,Biomedical,Hauer,2002,15,13,0.438,NA,d,10.1093/gerona/gly271
114,3,Biomedical,Binder,2004,46,44,0.526,NA,d,10.1093/gerona/gly271
115,3,Biomedical,Peterson,2004,38,32,0.164,NA,d,10.1093/gerona/gly271
116,3,Biomedical,Sherrington,2004,40,40,0.175,NA,d,10.1093/gerona/gly271
117,3,Biomedical,Moseley,2009,80,80,0.095,NA,d,10.1093/gerona/gly271
118,3,Biomedical,Latham,2014,120,112,0.339,NA,d,10.1093/gerona/gly271
119,3,Biomedical,Hauer,2002,15,13,0.328,NA,d,10.1093/gerona/gly271
120,3,Biomedical,Binder,2004,46,44,0.148,NA,d,10.1093/gerona/gly271
121,3,Biomedical,Moseley,2009,80,80,0.203,NA,d,10.1093/gerona/gly271
122,3,Biomedical,Latham,2014,120,112,0.233,NA,d,10.1093/gerona/gly271
123,3,Biomedical,Monticone,2018,26,22,1.771,NA,d,10.1093/gerona/gly271
124,3,Biomedical,Hauer,2002,15,13,0.296,NA,d,10.1093/gerona/gly271
125,3,Biomedical,Binder,2004,46,44,0.647,NA,d,10.1093/gerona/gly271
126,3,Biomedical,Peterson,2004,38,32,-0.032,NA,d,10.1093/gerona/gly271
127,3,Biomedical,Sherrington,2004,40,40,0.004,NA,d,10.1093/gerona/gly271
128,3,Biomedical,Moseley,2009,80,80,0.319,NA,d,10.1093/gerona/gly271
129,3,Biomedical,Latham,2014,120,112,0.344,NA,d,10.1093/gerona/gly271
130,3,Biomedical,Monticone,2018,26,22,3.745,NA,d,10.1093/gerona/gly271
131,3,Biomedical,Binder,2004,46,44,0.556,NA,d,10.1093/gerona/gly271
132,3,Biomedical,Moseley,2009,80,80,0.15,NA,d,10.1093/gerona/gly271
133,3,Biomedical,Monticone,2018,26,22,1.24,NA,d,10.1093/gerona/gly271
134,4,Individual Differences,Cockerham,1983,684,NA,0.165,NA,r,10.1093/geronb/54B.1.S24
135,4,Individual Differences,Jylha,1986,360,NA,-0.249,NA,r,10.1093/geronb/54B.1.S24
136,4,Individual Differences,Kaplan,1983,6908,NA,-0.186,NA,r,10.1093/geronb/54B.1.S24
137,4,Individual Differences,Levkoff,1987,460,NA,-0.229,NA,r,10.1093/geronb/54B.1.S24
138,4,Individual Differences,Permlutter,1990,127,NA,0.18,NA,r,10.1093/geronb/54B.1.S24
139,4,Individual Differences,Singer A,1974,147,NA,0.127,NA,r,10.1093/geronb/54B.1.S24
140,4,Individual Differences,Singer B,1974,138,NA,0.229,NA,r,10.1093/geronb/54B.1.S24
141,4,Individual Differences,Singer C,1974,1071,NA,-0.2,NA,r,10.1093/geronb/54B.1.S24
142,4,Individual Differences,Cockerham,1983,153,NA,-0.147,NA,r,10.1093/geronb/54B.1.S24
143,4,Individual Differences,Ferraro,1984,3216,NA,0.029,NA,r,10.1093/geronb/54B.1.S24
144,4,Individual Differences,Idler,1993,2583,NA,-0.027,NA,r,10.1093/geronb/54B.1.S24
145,4,Individual Differences,LaRue,1979,69,NA,-0.094,NA,r,10.1093/geronb/54B.1.S24
146,4,Individual Differences,Linn,1980,263,NA,0.112,NA,r,10.1093/geronb/54B.1.S24
147,4,Individual Differences,Maddox,1962,251,NA,0.208,NA,r,10.1093/geronb/54B.1.S24
148,4,Individual Differences,Marshall,199,2046,NA,-0.113,NA,r,10.1093/geronb/54B.1.S24
149,4,Individual Differences,Permlutter,1990,64,NA,-0.314,NA,r,10.1093/geronb/54B.1.S24
150,4,Individual Differences,Schulz,1994,5197,NA,-0.0966,NA,r,10.1093/geronb/54B.1.S24
151,4,Individual Differences,Thorslund,1994,537,NA,-0.046,NA,r,10.1093/geronb/54B.1.S24
152,5,Psychosocial,Bruine de Bruin A,2007,63,56,0.31,NA,g,10.1037/a0039447
153,5,Psychosocial,Bruine de Bruin A,2007,63,56,0.04,NA,g,10.1037/a0039447
154,5,Psychosocial,Bruine de Bruin B,2007,63,56,-0.03,NA,g,10.1037/a0039447
155,5,Psychosocial,Bruine de Bruin B,2007,63,56,0.03,NA,g,10.1037/a0039447
156,5,Psychosocial,Holliday,1988,24,24,0.11,NA,g,10.1037/a0039447
157,5,Psychosocial,Holliday,1988,24,24,-0.21,NA,g,10.1037/a0039447
158,5,Psychosocial,Karns,2013,119,106,-0.69,NA,g,10.1037/a0039447
159,5,Psychosocial,Karns,2013,119,106,-1.26,NA,g,10.1037/a0039447
160,5,Psychosocial,Kim A,2005,53,53,0.54,NA,g,10.1037/a0039447
161,5,Psychosocial,Kim A,2005,53,53,1.33,NA,g,10.1037/a0039447
162,5,Psychosocial,Kim B,2005,53,53,0.89,NA,g,10.1037/a0039447
163,5,Psychosocial,Kim B,2005,53,53,0.93,NA,g,10.1037/a0039447
164,5,Psychosocial,Kim C,2005,40,40,-0.74,NA,g,10.1037/a0039447
165,5,Psychosocial,Kim C,2005,40,40,1.52,NA,g,10.1037/a0039447
166,5,Psychosocial,Kim D,2005,40,40,-0.62,NA,g,10.1037/a0039447
167,5,Psychosocial,Kim D,2005,40,40,0.55,NA,g,10.1037/a0039447
168,5,Psychosocial,Lauriola,2001,26,23,-0.54,NA,g,10.1037/a0039447
169,5,Psychosocial,Lauriola,2001,26,23,0.38,NA,g,10.1037/a0039447
170,5,Psychosocial,Mather A,2012,38,38,-0.8,NA,g,10.1037/a0039447
171,5,Psychosocial,Mather B,2012,48,48,-0.86,NA,g,10.1037/a0039447
172,5,Psychosocial,Mather C,2012,20,20,1.65,NA,g,10.1037/a0039447
173,5,Psychosocial,Mather D,2012,107,50,0.06,NA,g,10.1037/a0039447
174,5,Psychosocial,Mather D,2012,107,50,0.36,NA,g,10.1037/a0039447
175,5,Psychosocial,Mayhorn A,2002,58,58,-0.59,NA,g,10.1037/a0039447
176,5,Psychosocial,Mayhorn A,2002,58,58,-0.29,NA,g,10.1037/a0039447
177,5,Psychosocial,Mayhorn B,2002,58,58,-0.79,NA,g,10.1037/a0039447
178,5,Psychosocial,Mayhorn B,2002,58,58,0,NA,g,10.1037/a0039447
179,5,Psychosocial,McKee,2001,166,137,0.19,NA,g,10.1037/a0039447
180,5,Psychosocial,McKee,2001,166,137,0.33,NA,g,10.1037/a0039447
181,5,Psychosocial,Mikels,2009,22,22,-0.03,NA,g,10.1037/a0039447
182,5,Psychosocial,Mikels,2009,22,22,-0.7,NA,g,10.1037/a0039447
183,5,Psychosocial,Ronnlund A,2005,32,32,-1.08,NA,g,10.1037/a0039447
184,5,Psychosocial,Ronnlund A,2005,32,32,-1.06,NA,g,10.1037/a0039447
185,5,Psychosocial,Ronnlund B,2005,32,32,0,NA,g,10.1037/a0039447
186,5,Psychosocial,Ronnlund B,2005,32,32,-0.24,NA,g,10.1037/a0039447
187,5,Psychosocial,Ronnlund C,2005,32,32,1.08,NA,g,10.1037/a0039447
188,5,Psychosocial,Ronnlund C,2005,32,32,0.48,NA,g,10.1037/a0039447
189,5,Psychosocial,Sproten,2010,51,24,0.05,NA,g,10.1037/a0039447
190,5,Psychosocial,Sproten,2012,36,18,-0.3,NA,g,10.1037/a0039447
191,5,Psychosocial,Thomas A,2012,68,68,0.12,NA,g,10.1037/a0039447
192,5,Psychosocial,Thomas A,2012,68,68,0.07,NA,g,10.1037/a0039447
193,5,Psychosocial,Thomas B,2012,68,68,-0.15,NA,g,10.1037/a0039447
194,5,Psychosocial,Thomas B,2012,68,68,0.04,NA,g,10.1037/a0039447
195,5,Psychosocial,Thomas C,2012,60,60,-0.04,NA,g,10.1037/a0039447
196,5,Psychosocial,Thomas C,2012,60,60,0.75,NA,g,10.1037/a0039447
197,5,Psychosocial,Thomas D,2012,60,60,-0.08,NA,g,10.1037/a0039447
198,5,Psychosocial,Thomas D,2012,60,60,-0.04,NA,g,10.1037/a0039447
199,5,Psychosocial,Tymula,2012,34,36,-0.37,NA,g,10.1037/a0039447
200,5,Psychosocial,Tymula,2012,34,36,-0.19,NA,g,10.1037/a0039447
201,5,Psychosocial,Watanabe A,2010,41,87,-1.13,NA,g,10.1037/a0039447
202,5,Psychosocial,Watanabe A,2010,41,87,-0.89,NA,g,10.1037/a0039447
203,5,Psychosocial,Watanabe B,2010,41,81,-1.93,NA,g,10.1037/a0039447
204,5,Psychosocial,Watanabe B,2010,41,81,-1.59,NA,g,10.1037/a0039447
205,5,Psychosocial,Weller,2011,358,61,-0.81,NA,g,10.1037/a0039447
206,5,Psychosocial,Weller,2011,358,61,-0.1,NA,g,10.1037/a0039447
207,5,Psychosocial,Woodhead A,2006,32,29,-0.4,NA,g,10.1037/a0039447
208,5,Psychosocial,Woodhead A,2006,32,29,0.03,NA,g,10.1037/a0039447
209,5,Psychosocial,Woodhead B,2006,31,29,0.8,NA,g,10.1037/a0039447
210,5,Psychosocial,Woodhead B,2006,31,29,-0.44,NA,g,10.1037/a0039447
211,5,Psychosocial,Woodhead,2008,40,40,-1.25,NA,g,10.1037/a0039447
212,5,Psychosocial,Woodhead,2008,40,40,-0.22,NA,g,10.1037/a0039447
213,6,Psychosocial,Feifel,1957,40,39,1.03,NA,d,10.1037/0882-7974.13.4.584
214,6,Psychosocial,Goldstone,1958,20,20,0.97,NA,d,10.1037/0882-7974.13.4.584
215,6,Psychosocial,Surwillo,1964,80,80,0.47,NA,d,10.1037/0882-7974.13.4.584
216,6,Psychosocial,McGrath,1968,24,24,1.37,NA,d,10.1037/0882-7974.13.4.584
217,6,Psychosocial,McNanamy,1968,36,72,-0.17,NA,d,10.1037/0882-7974.13.4.584
218,6,Psychosocial,LeBlanc,1969,79,33,0.4,NA,d,10.1037/0882-7974.13.4.584
219,6,Psychosocial,Neuringer,1972,15,15,0.54,NA,d,10.1037/0882-7974.13.4.584
220,6,Psychosocial,Bull,1973,60,30,0.45,NA,d,10.1037/0882-7974.13.4.584
221,6,Psychosocial,Newman,1976,45,45,0.46,NA,d,10.1037/0882-7974.13.4.584
222,6,Psychosocial,Kline,1980,12,12,0.23,NA,d,10.1037/0882-7974.13.4.584
223,6,Psychosocial,Landaeta,1981,20,20,0.31,NA,d,10.1037/0882-7974.13.4.584
224,6,Psychosocial,Licht,1985,30,15,0.29,NA,d,10.1037/0882-7974.13.4.584
225,6,Psychosocial,Beck,1988,10,85,-0.15,NA,d,10.1037/0882-7974.13.4.584
226,6,Psychosocial,Polyukhov,1989,164,92,0.23,NA,d,10.1037/0882-7974.13.4.584
227,6,Psychosocial,Eisler,1994,24,24,0.6,NA,d,10.1037/0882-7974.13.4.584
228,7,Individual Differences,Barker,1995,125,NA,0.05,NA,r,10.1037/a0035908
229,7,Individual Differences,Best,1992,49,NA,0.32,NA,r,10.1037/a0035908
230,7,Individual Differences,Bielak,2007,33,NA,0.2,NA,r,10.1037/a0035908
231,7,Individual Differences,Cargin,2008,100,NA,-0.04,NA,r,10.1037/a0035908
232,7,Individual Differences,Chung,2009,86,NA,0.28,NA,r,10.1037/a0035908
233,7,Individual Differences,Clement,2008,81,NA,-0.15,NA,r,10.1037/a0035908
234,7,Individual Differences,Cook,2006,57,NA,0.17,NA,r,10.1037/a0035908
235,7,Individual Differences,Derouesne,1989,367,NA,-0.08,NA,r,10.1037/a0035908
236,7,Individual Differences,Derouesne,1993,1648,NA,-0.29,NA,r,10.1037/a0035908
237,7,Individual Differences,Derouesne,1999,183,NA,-0.13,NA,r,10.1037/a0035908
238,7,Individual Differences,Devolder,1991,48,NA,0.2,NA,r,10.1037/a0035908
239,7,Individual Differences,Dux,2008,130,NA,0.27,NA,r,10.1037/a0035908
240,7,Individual Differences,Erber,1992,80,NA,-0.05,NA,r,10.1037/a0035908
241,7,Individual Differences,Feehan,1991,20,NA,0.05,NA,r,10.1037/a0035908
242,7,Individual Differences,Hanninen,1994,403,NA,-0.19,NA,r,10.1037/a0035908
243,7,Individual Differences,Ivgi,1999,67,NA,0.238,NA,r,10.1037/a0035908
244,7,Individual Differences,Jonker,1997,71,NA,0.026,NA,r,10.1037/a0035908
245,7,Individual Differences,Jorm,2001,33,NA,0.27,NA,r,10.1037/a0035908
246,7,Individual Differences,Jungwirth,2008,478,NA,-0.162,NA,r,10.1037/a0035908
247,7,Individual Differences,Kahn,1975,105,NA,0.02,NA,r,10.1037/a0035908
248,7,Individual Differences,LaRue,1996,61,NA,0,NA,r,10.1037/a0035908
249,7,Individual Differences,Levy-Cushraan,1998,132,NA,0.19,NA,r,10.1037/a0035908
250,7,Individual Differences,Lima-Silva,2009,57,NA,-0.1,NA,r,10.1037/a0035908
251,7,Individual Differences,Mascherek,2011,500,NA,0.23,NA,r,10.1037/a0035908
252,7,Individual Differences,Mendes,2008,101,NA,0.113,NA,r,10.1037/a0035908
253,7,Individual Differences,Minett,2005,60,NA,-0.127,NA,r,10.1037/a0035908
254,7,Individual Differences,Minett,2008,114,NA,-0.06,NA,r,10.1037/a0035908
255,7,Individual Differences,Parisi,2011,1401,NA,0.29,NA,r,10.1037/a0035908
256,7,Individual Differences,Pearman,2004,283,NA,0.23,NA,r,10.1037/a0035908
257,7,Individual Differences,Pearman,2005,85,NA,0.11,NA,r,10.1037/a0035908
258,7,Individual Differences,Perrig-Chiello,2000,301,NA,0.33,NA,r,10.1037/a0035908
259,7,Individual Differences,Ponds,1996,102,NA,0.35,NA,r,10.1037/a0035908
260,7,Individual Differences,Potter,2006,99,NA,0.31,NA,r,10.1037/a0035908
261,7,Individual Differences,Rabbitt,1990,442,NA,-0.09,NA,r,10.1037/a0035908
262,7,Individual Differences,Rabbitt,1991,312,NA,-0.08,NA,r,10.1037/a0035908
263,7,Individual Differences,Riege,1983,30,NA,0.41,NA,r,10.1037/a0035908
264,7,Individual Differences,Schmidt,2001,117,NA,-0.02,NA,r,10.1037/a0035908
265,7,Individual Differences,Scoin,1985,84,NA,0.053,NA,r,10.1037/a0035908
266,7,Individual Differences,Sims,2011,579,NA,0,NA,r,10.1037/a0035908
267,7,Individual Differences,Smith,1996,281,NA,0.17,NA,r,10.1037/a0035908
268,7,Individual Differences,Sunderland,1986,60,NA,0.139,NA,r,10.1037/a0035908
269,7,Individual Differences,Troyer,2002,115,NA,0.11,NA,r,10.1037/a0035908
270,7,Individual Differences,Valentijn,2006,557,NA,0.053,NA,r,10.1037/a0035908
271,7,Individual Differences,Vanderhill,2010,93,NA,0.327,NA,r,10.1037/a0035908
272,7,Individual Differences,Van der Linden,1997,48,NA,-0.27,NA,r,10.1037/a0035908
273,7,Individual Differences,Vestergren,2011,370,NA,-0.02,NA,r,10.1037/a0035908
274,7,Individual Differences,Wahlin,2003,176,NA,0.034,NA,r,10.1037/a0035908
275,7,Individual Differences,Youn,2009,1651,NA,-0.24,NA,r,10.1037/a0035908
276,7,Individual Differences,Zarit,1982,79,NA,-0.2,NA,r,10.1037/a0035908
277,7,Individual Differences,Zeintl,2006,364,NA,0.126,NA,r,10.1037/a0035908
278,7,Individual Differences,Zelinski,2001,6772,NA,0.171,NA,r,10.1037/a0035908
279,7,Individual Differences,Zimprich,2003,427,NA,-0.15,NA,r,10.1037/a0035908
280,8,Psychosocial,Best,1992,14,7,0,NA,d,10.1037/0882-7974.12.1.150
281,8,Psychosocial,Blackford,1989,19,10,0.2,NA,d,10.1037/0882-7974.12.1.150
282,8,Psychosocial,Hill,1987,59,17,0.12,NA,d,10.1037/0882-7974.12.1.150
283,8,Psychosocial,Hill,1988,97,15,0,NA,d,10.1037/0882-7974.12.1.150
284,8,Psychosocial,Johnston,1989,15,16,0.76,NA,d,10.1037/0882-7974.12.1.150
285,8,Psychosocial,Koning-Haanstra,1993,18,14,-0.05,NA,d,10.1037/0882-7974.12.1.150
286,8,Psychosocial,Lachman,1991,15,15,0.38,NA,d,10.1037/0882-7974.12.1.150
287,8,Psychosocial,Lachman,1992,21,21,0.55,NA,d,10.1037/0882-7974.12.1.150
288,8,Psychosocial,Meyer,1989,21,18,1.02,NA,d,10.1037/0882-7974.12.1.150
289,8,Psychosocial,Ottoson,1981,16,16,0.57,NA,d,10.1037/0882-7974.12.1.150
290,8,Psychosocial,Rebok,1989,22,22,0.27,NA,d,10.1037/0882-7974.12.1.150
291,8,Psychosocial,Scogin,1985,20,27,0.16,NA,d,10.1037/0882-7974.12.1.150
292,8,Psychosocial,Scogin,1992,16,23,0.39,NA,d,10.1037/0882-7974.12.1.150
293,8,Psychosocial,Zarit,1981,22,29,0.74,NA,d,10.1037/0882-7974.12.1.150
294,8,Psychosocial,Best,1992,14,15,0,NA,d,10.1037/0882-7974.12.1.150
295,8,Psychosocial,Blackford,1989,19,16,-0.05,NA,d,10.1037/0882-7974.12.1.150
296,8,Psychosocial,Hill,1990,30,30,0,NA,d,10.1037/0882-7974.12.1.150
297,8,Psychosocial,Lachman,1992,21,21,0.05,NA,d,10.1037/0882-7974.12.1.150
298,8,Psychosocial,Meyer,1989,21,13,0.72,NA,d,10.1037/0882-7974.12.1.150
299,8,Psychosocial,Scogin,1992,16,17,0.12,NA,d,10.1037/0882-7974.12.1.150
300,8,Psychosocial,Yamamoto,1983,15,15,-0.75,NA,d,10.1037/0882-7974.12.1.150
301,8,Psychosocial,Zarit,1981,21,17,0.02,NA,d,10.1037/0882-7974.12.1.150
302,8,Psychosocial,Best,1992,14,13,-0.13,NA,d,10.1037/0882-7974.12.1.150
303,8,Psychosocial,Lachman,1992,21,21,-0.19,NA,d,10.1037/0882-7974.12.1.150
304,8,Psychosocial,Zarit,1981,20,21,-0.18,NA,d,10.1037/0882-7974.12.1.150
305,8,Psychosocial,Flynn,1986,19,21,-0.33,NA,d,10.1037/0882-7974.12.1.150
306,8,Psychosocial,Lachman,1991,15,15,-0.37,NA,d,10.1037/0882-7974.12.1.150
307,8,Psychosocial,Lachman,1992,21,21,-0.49,NA,d,10.1037/0882-7974.12.1.150
